Electric Two-Wheeler Sales FY 23-24,,,,,,,,,,,,,Electric Two-Wheeler Sales,,,,,,,
S. No,Maker,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total,Market,,FY 23,Market,FY 22,Market
,,,,,,,,,,,,,,,Share,,,Share,,Share
1,OLA ELECTRIC,22068,28743,17689,19405,18745,18707,23867,30004,30398,32349,33923,50545,326443,35%,,152779,21%,14405,6%
2,TVS,8760,20435,7867,10398,15484,15614,16509,19146,12320,15339,14608,26479,182959,19%,,82109,11%,9740,4%
3,ATHER,7802,15430,4603,6685,7152,7194,8478,9333,6550,9357,9067,17221,108872,12%,,76939,11%,19981,8%
4,BAJAJ,4093,10098,3011,4131,6588,7105,9070,11913,10418,10885,11745,17933,106990,11%,,32805,5%,7114,3%
5,AMPERE,8875,10790,3043,3573,3699,4199,4542,4695,3350,2536,2609,3146,55057,6%,,87392,12%,25516,10%
6,OKINAWA,3218,2908,2620,2265,2001,1791,1475,1606,965,683,660,681,20873,2%,,95939,13%,47926,19%
7,HERO ELECTRIC,3333,2110,1137,779,783,845,666,824,552,418,327,320,12094,1%,,89874,12%,69235,27%
8,OKAYA EV,1563,3878,424,784,1151,884,874,1297,709,581,657,1233,14035,1%,,13175,2%,0,0%
9,BGAUSS,771,1814,191,661,923,935,1171,1609,1215,1487,1350,3108,15235,2%,,4147,0.60%,0,0%
10,BATTRE ELECTRIC,652,1199,83,135,291,258,230,667,244,287,222,633,4901,1%,,896,0.10%,0,0%
11,KINETIC GREEN,848,897,203,232,385,234,394,427,668,820,632,3963,9703,1%,,5572,0.80%,0,0%
12,REVOLT,526,572,714,484,514,890,689,671,681,530,479,592,7342,1%,,12932,2%,7641,3%
13,OTHERS,4368,6708,4521,5082,5051,5421,7179,9826,7785,6746,6229,10706,79622,8%,,73495,10%,51083,20%
,TOTAL,66877,105582,46106,54614,62767,64077,75144,92018,75855,82018,82508,136560,944126,,,728054,,252641,
